episode,shaped_reward,success,steps
519,-10.28000000,0,29
520,-10.28000000,0,29
521,-10.92000000,0,93
522,-10.41000000,0,42
523,-10.26000000,0,27
524,-10.77000000,0,78
525,-12.39000000,0,240
526,-10.20000000,0,21
527,-10.10000000,0,11
528,-10.08000000,0,9
529,-10.26000000,0,27
530,-10.17000000,0,18
531,-10.28000000,0,29
532,-10.11000000,0,12
533,-10.36000000,0,37
534,-10.17000000,0,18
535,-10.07000000,0,8
536,-10.23000000,0,24
537,-10.61000000,0,62
538,-10.16000000,0,17
539,-10.42000000,0,43
540,-10.51000000,0,52
541,-10.19000000,0,20
542,-11.55000000,0,156
543,-10.22000000,0,23
544,-10.35000000,0,36
545,-10.27000000,0,28
546,-10.33000000,0,34
547,-10.25000000,0,26
548,-10.11000000,0,12
549,-10.45000000,0,46
550,-10.35000000,0,36
551,-10.31000000,0,32
552,-10.22000000,0,23
553,-10.48000000,0,49
554,-10.24000000,0,25
555,-10.06000000,0,7
556,-10.05000000,0,6
557,-10.42000000,0,43
558,-10.37000000,0,38
559,-10.14000000,0,15
560,-10.50000000,0,51
561,-10.27000000,0,28
562,-10.12000000,0,13
563,-10.51000000,0,52
564,-10.17000000,0,18
565,-10.23000000,0,24
566,-10.20000000,0,21
567,-10.20000000,0,21
568,-10.15000000,0,16
569,-10.05000000,0,6
570,-10.37000000,0,38
571,-10.79000000,0,80
572,-10.24000000,0,25
573,-10.24000000,0,25
574,-10.18000000,0,19
575,-10.22000000,0,23
576,-10.04000000,0,5
577,-10.62000000,0,63
578,-10.14000000,0,15
579,-10.39000000,0,40
580,-10.41000000,0,42
581,-10.30000000,0,31
582,-10.05000000,0,6
583,-10.26000000,0,27
584,-10.05000000,0,6
585,-10.44000000,0,45
586,-10.46000000,0,47
587,-10.37000000,0,38
588,-10.12000000,0,13
589,-10.06000000,0,7
590,-10.26000000,0,27
591,-10.17000000,0,18
592,-10.54000000,0,55
593,-10.54000000,0,55
594,-10.87000000,0,88
595,-10.55000000,0,56
596,-10.56000000,0,57
597,-10.43000000,0,44
598,-10.36000000,0,37
599,-10.71000000,0,72
600,-10.10000000,0,11
601,-11.06000000,0,107
602,-10.07000000,0,8
603,-10.30000000,0,31
604,-10.52000000,0,53
605,-10.12000000,0,13
606,-10.03000000,0,4
607,-10.11000000,0,12
608,-10.45000000,0,46
609,-10.14000000,0,15
610,-10.18000000,0,19
611,-10.16000000,0,17
612,-10.06000000,0,7
613,-10.63000000,0,64
614,-10.20000000,0,21
615,-10.59000000,0,60
616,-10.41000000,0,42
617,-10.16000000,0,17
618,-10.07000000,0,8
619,-10.72000000,0,73
620,-10.58000000,0,59
621,-10.16000000,0,17
622,-10.39000000,0,40
623,-10.29000000,0,30
624,-10.41000000,0,42
625,-10.08000000,0,9
626,-11.15000000,0,116
627,-10.21000000,0,22
628,-10.29000000,0,30
629,-10.90000000,0,91
630,-10.07000000,0,8
631,-10.43000000,0,44
